OBJECTID,FULL_NAME,Has_MAX_BRT,Shape_Length,SIDEWALK_AREA,SIDEWALK_WIDTH,HOV,IMPACTED,BLOCK_ID,INTEGRATED_LU,GREEN_BUFFER,Start_X,Start_Y,End_X,End_Y
1,CENTRE ST N,Yes,0.500026009,1.624803959,3.2,,,2,,,-4369.0215,5662029.584,-4369.0266,5662029.084
2,CENTRE ST N,Yes,0.130403106,,,,,2,,,-4370.5072,5661807.092,-4370.5063,5661806.962
3,CENTRE ST N,Yes,0.50001225,0.981180891,2,,,2,,,-4370.5107,5661807.592,-4370.5072,5661807.092
4,CENTRE ST N,Yes,0.50001296,0.9627903,1.9,,,2,,,-4370.5143,5661808.092,-4370.5107,5661807.592
5,CENTRE ST N,Yes,0.50001225,1.025745941,2.1,,,2,,,-4370.5178,5661808.592,-4370.5143,5661808.092
6,CENTRE ST N,Yes,0.50001225,1.04722942,2.1,,,2,,,-4370.5213,5661809.092,-4370.5178,5661808.592
7,CENTRE ST N,Yes,0.50001225,1.059297178,2.1,,,2,,,-4370.5248,5661809.592,-4370.5213,5661809.092
8,CENTRE ST N,Yes,0.499927559,,,,,2,,,-4370.5238,5661810.092,-4370.5248,5661809.592
9,CENTRE ST N,Yes,0.500046238,1.069989505,2.1,,,2,,,-4370.517,5661810.592,-4370.5238,5661810.092
10,CENTRE ST N,Yes,0.499944897,1.068247243,2.1,,,2,,,-4370.5103,5661811.092,-4370.517,5661810.592
11,CENTRE ST N,Yes,0.500046238,1.06650915,2.1,,,2,,,-4370.5035,5661811.592,-4370.5103,5661811.092
12,CENTRE ST N,Yes,0.500046238,1.06557152,2.1,,,2,,,-4370.4967,5661812.092,-4370.5035,5661811.592
13,CENTRE ST N,Yes,0.499946247,1.06554438,2.1,,,2,,,-4370.4899,5661812.592,-4370.4967,5661812.092
14,CENTRE ST N,Yes,0.500044888,1.06583218,2.1,,,2,,,-4370.4832,5661813.092,-4370.4899,5661812.592
15,CENTRE ST N,Yes,0.499946247,1.065614461,2.1,,,2,,,-4370.4764,5661813.592,-4370.4832,5661813.092
16,CENTRE ST N,Yes,0.500046238,1.06600586,2.1,,,2,,,-4370.4696,5661814.092,-4370.4764,5661813.592
17,CENTRE ST N,Yes,0.499946247,1.0647159,2.1,,,2,,,-4370.4628,5661814.592,-4370.4696,5661814.092
18,CENTRE ST N,Yes,0.500044888,1.063177675,2.1,,,2,,,-4370.4561,5661815.092,-4370.4628,5661814.592
19,CENTRE ST N,Yes,0.499946247,1.061598575,2.1,,,2,,,-4370.4493,5661815.592,-4370.4561,5661815.092
20,CENTRE ST N,Yes,0.500046238,1.0610936,2.1,,,2,,,-4370.4425,5661816.092,-4370.4493,5661815.592
21,CENTRE ST N,Yes,0.499946245,1.06043744,2.1,,,2,,,-4370.4357,5661816.592,-4370.4425,5661816.092
22,CENTRE ST N,Yes,0.500044888,1.060098892,2.1,,,2,,,-4370.429,5661817.092,-4370.4357,5661816.592
23,CENTRE ST N,Yes,0.500046238,1.059443435,2.1,,,2,,,-4370.4222,5661817.592,-4370.429,5661817.092
24,CENTRE ST N,Yes,0.499946247,1.058761,2.1,,,2,,,-4370.4154,5661818.091,-4370.4222,5661817.592
25,CENTRE ST N,Yes,0.500046238,1.058425517,2.1,,,2,,,-4370.4086,5661818.591,-4370.4154,5661818.091
26,CENTRE ST N,Yes,0.499946247,1.057555175,2.1,,,2,,,-4370.4018,5661819.091,-4370.4086,5661818.591
27,CENTRE ST N,Yes,0.500044888,1.057298202,2.1,,,2,,,-4370.3951,5661819.591,-4370.4018,5661819.091
28,CENTRE ST N,Yes,0.499946247,1.056431725,2.1,,,2,,,-4370.3883,5661820.091,-4370.3951,5661819.591
29,CENTRE ST N,Yes,0.500046238,1.05609297,2.1,,,2,,,-4370.3815,5661820.591,-4370.3883,5661820.091
30,CENTRE ST N,Yes,0.499946247,1.05543731,2.1,,,2,,,-4370.3747,5661821.091,-4370.3815,5661820.591
31,CENTRE ST N,Yes,0.500044888,1.05499221,2.1,,,2,,,-4370.368,5661821.591,-4370.3747,5661821.091
32,CENTRE ST N,Yes,0.499946247,1.054231815,2.1,,,2,,,-4370.3612,5661822.091,-4370.368,5661821.591
33,CENTRE ST N,Yes,0.500046238,1.05389262,2.1,,,2,,,-4370.3544,5661822.591,-4370.3612,5661822.091
34,CENTRE ST N,Yes,0.499946247,1.05323731,2.1,,,2,,,-4370.3476,5661823.091,-4370.3544,5661822.591
35,CENTRE ST N,Yes,0.500044934,1.002636794,2,,,2,,,-4370.3409,5661823.591,-4370.3476,5661823.091
36,CENTRE ST N,Yes,0.500046238,1.052321165,2.1,,,2,,,-4370.3341,5661824.091,-4370.3409,5661823.591
37,CENTRE ST N,Yes,0.499946247,1.05153718,2.1,,,2,,,-4370.3273,5661824.591,-4370.3341,5661824.091
38,CENTRE ST N,Yes,0.500044888,1.051091635,2.1,,,2,,,-4370.3206,5661825.091,-4370.3273,5661824.591
39,CENTRE ST N,Yes,0.499946247,1.0506349,2.1,,,2,,,-4370.3138,5661825.591,-4370.3206,5661825.091
40,CENTRE ST N,Yes,0.500046238,1.050826585,2.1,,,2,,,-4370.307,5661826.091,-4370.3138,5661825.591
41,CENTRE ST N,Yes,0.499944897,1.05049215,2.1,,,2,,,-4370.3003,5661826.591,-4370.307,5661826.091
42,CENTRE ST N,Yes,0.500046238,1.050495005,2.1,,,2,,,-4370.2935,5661827.091,-4370.3003,5661826.591
43,CENTRE ST N,Yes,0.499946247,1.05026647,2.1,,,2,,,-4370.2867,5661827.591,-4370.2935,5661827.091
44,CENTRE ST N,Yes,0.500046238,1.05035292,2.1,,,2,,,-4370.2799,5661828.091,-4370.2867,5661827.591
45,CENTRE ST N,Yes,0.499944895,1.05003934,2.1,,,2,,,-4370.2732,5661828.59,-4370.2799,5661828.091
46,CENTRE ST N,Yes,0.500046238,1.050325475,2.1,,,2,,,-4370.2664,5661829.09,-4370.2732,5661828.59
47,CENTRE ST N,Yes,0.500046238,1.05229051,2.1,,,2,,,-4370.2596,5661829.59,-4370.2664,5661829.09
48,CENTRE ST N,Yes,0.499944897,1.054351915,2.1,,,2,,,-4370.2529,5661830.09,-4370.2596,5661829.59
49,CENTRE ST N,Yes,0.500046238,1.05686779,2.1,,,2,,,-4370.2461,5661830.59,-4370.2529,5661830.09
50,CENTRE ST N,Yes,0.499946247,1.05893018,2.1,,,2,,,-4370.2393,5661831.09,-4370.2461,5661830.59
51,CENTRE ST N,Yes,0.500044888,1.06141423,2.1,,,2,,,-4370.2326,5661831.59,-4370.2393,5661831.09
52,CENTRE ST N,Yes,0.499946247,1.06337357,2.1,,,2,,,-4370.2258,5661832.09,-4370.2326,5661831.59
53,CENTRE ST N,Yes,0.500046238,1.06596948,2.1,,,2,,,-4370.219,5661832.59,-4370.2258,5661832.09
54,CENTRE ST N,Yes,0.499944897,1.067945071,2.1,,,2,,,-4370.2123,5661833.09,-4370.219,5661832.59
55,CENTRE ST N,Yes,0.500046238,1.070437035,2.1,,,2,,,-4370.2055,5661833.59,-4370.2123,5661833.09
56,CENTRE ST N,Yes,0.499946247,1.072629965,2.1,,,2,,,-4370.1987,5661834.09,-4370.2055,5661833.59
57,CENTRE ST N,Yes,0.500046238,1.07526648,2.2,,,2,,,-4370.1919,5661834.59,-4370.1987,5661834.09
58,CENTRE ST N,Yes,0.499944897,1.077860975,2.2,,,2,,,-4370.1852,5661835.09,-4370.1919,5661834.59
59,CENTRE ST N,Yes,0.500046238,1.080928787,2.2,,,2,,,-4370.1784,5661835.59,-4370.1852,5661835.09
60,CENTRE ST N,Yes,0.500046238,1.08378235,2.2,,,2,,,-4370.1716,5661836.09,-4370.1784,5661835.59
61,CENTRE ST N,Yes,0.499943581,0.969591913,1.9,,,2,,,-4370.165,5661836.59,-4370.1716,5661836.09
62,CENTRE ST N,Yes,0.500042248,1.089502485,2.2,,,2,,,-4370.1585,5661837.09,-4370.165,5661836.59
63,CENTRE ST N,Yes,0.499942257,1.092048865,2.2,,,2,,,-4370.152,5661837.59,-4370.1585,5661837.09
64,CENTRE ST N,Yes,0.500042248,1.095226965,2.2,,,2,,,-4370.1455,5661838.09,-4370.152,5661837.59
65,CENTRE ST N,Yes,0.499942257,1.097860855,2.2,,,2,,,-4370.139,5661838.59,-4370.1455,5661838.09
66,CENTRE ST N,Yes,0.500042248,1.100928185,2.2,,,2,,,-4370.1325,5661839.09,-4370.139,5661838.59
67,CENTRE ST N,Yes,0.500042248,1.10429617,2.2,,,2,,,-4370.126,5661839.59,-4370.1325,5661839.09
68,CENTRE ST N,Yes,0.499942257,1.109835903,2.2,,,2,,,-4370.1195,5661840.089,-4370.126,5661839.59
69,CENTRE ST N,Yes,0.500042248,1.115978075,2.2,,,2,,,-4370.113,5661840.589,-4370.1195,5661840.089
70,CENTRE ST N,Yes,0.499942255,1.12147134,2.2,,,2,,,-4370.1065,5661841.089,-4370.113,5661840.589
71,CENTRE ST N,Yes,0.500042248,1.12734631,2.3,,,2,,,-4370.1,5661841.589,-4370.1065,5661841.089
72,CENTRE ST N,Yes,0.499942257,1.132743955,2.3,,,2,,,-4370.0935,5661842.089,-4370.1,5661841.589
73,CENTRE ST N,Yes,0.500042248,1.1386248,2.3,,,2,,,-4370.087,5661842.589,-4370.0935,5661842.089
74,CENTRE ST N,Yes,0.500042248,1.14427317,2.3,,,2,,,-4370.0805,5661843.089,-4370.087,5661842.589
75,CENTRE ST N,Yes,0.499942257,1.149670391,2.3,,,2,,,-4370.074,5661843.589,-4370.0805,5661843.089
76,CENTRE ST N,Yes,0.500042248,1.155551,2.3,,,2,,,-4370.0675,5661844.089,-4370.074,5661843.589
77,CENTRE ST N,Yes,0.499942257,1.160970138,2.3,,,2,,,-4370.061,5661844.589,-4370.0675,5661844.089
78,CENTRE ST N,Yes,0.500042248,1.166710165,2.3,,,2,,,-4370.0545,5661845.089,-4370.061,5661844.589
79,CENTRE ST N,Yes,0.500042248,1.172597765,2.3,,,2,,,-4370.048,5661845.589,-4370.0545,5661845.089
80,CENTRE ST N,Yes,0.499942257,1.17788638,2.4,,,2,,,-4370.0415,5661846.089,-4370.048,5661845.589
81,CENTRE ST N,Yes,0.500042248,1.183964565,2.4,,,2,,,-4370.035,5661846.589,-4370.0415,5661846.089
82,CENTRE ST N,Yes,0.499942257,1.18965994,2.4,,,2,,,-4370.0285,5661847.089,-4370.035,5661846.589
83,CENTRE ST N,Yes,0.500043558,1.19625958,2.4,,,2,,,-4370.0219,5661847.589,-4370.0285,5661847.089
84,CENTRE ST N,Yes,0.499942257,1.197692345,2.4,,,2,,,-4370.0154,5661848.089,-4370.0219,5661847.589
85,CENTRE ST N,Yes,0.500042248,1.19700515,2.4,,,2,,,-4370.0089,5661848.589,-4370.0154,5661848.089
86,CENTRE ST N,Yes,0.500042248,1.196129495,2.4,,,2,,,-4370.0024,5661849.089,-4370.0089,5661848.589
87,CENTRE ST N,Yes,0.499942257,1.19585311,2.4,,,2,,,-4369.9959,5661849.589,-4370.0024,5661849.089
88,CENTRE ST N,Yes,0.500004416,1.159933214,2.3,,,2,,,-4369.9941,5661850.089,-4369.9959,5661849.589
89,CENTRE ST N,Yes,0.50000196,1.19645067,2.4,,,2,,,-4369.9927,5661850.589,-4369.9941,5661850.089
90,CENTRE ST N,Yes,0.50000196,1.19675134,2.4,,,2,,,-4369.9913,5661851.089,-4369.9927,5661850.589
91,CENTRE ST N,Yes,0.50000169,1.19705062,2.4,,,2,,,-4369.99,5661851.589,-4369.9913,5661851.089
92,CENTRE ST N,Yes,0.50000196,1.197326005,2.4,,,2,,,-4369.9886,5661852.089,-4369.99,5661851.589
93,CENTRE ST N,Yes,0.50000196,1.19760134,2.4,,,2,,,-4369.9872,5661852.589,-4369.9886,5661852.089
94,CENTRE ST N,Yes,0.50000196,1.19783782,2.4,,,2,,,-4369.9858,5661853.089,-4369.9872,5661852.589
95,CENTRE ST N,Yes,0.50000196,1.19643328,2.4,,,2,,,-4369.9844,5661853.589,-4369.9858,5661853.089
96,CENTRE ST N,Yes,0.50000196,1.191963485,2.4,,,2,,,-4369.983,5661854.089,-4369.9844,5661853.589
97,CENTRE ST N,Yes,0.50000196,1.190538115,2.4,,,2,,,-4369.9816,5661854.589,-4369.983,5661854.089
98,CENTRE ST N,Yes,0.50000196,1.19373015,2.4,,,2,,,-4369.9802,5661855.089,-4369.9816,5661854.589
99,CENTRE ST N,Yes,0.50000196,1.198185883,2.4,,,2,,,-4369.9788,5661855.589,-4369.9802,5661855.089
100,CENTRE ST N,Yes,0.50000196,1.20285526,2.4,,,2,,,-4369.9774,5661856.089,-4369.9788,5661855.589
101,CENTRE ST N,Yes,0.50000196,1.2074306,2.4,,,2,,,-4369.976,5661856.589,-4369.9774,5661856.089
102,CENTRE ST N,Yes,0.50000196,1.21200594,2.4,,,2,,,-4369.9746,5661857.089,-4369.976,5661856.589
103,CENTRE ST N,Yes,0.50000196,1.21655526,2.4,,,2,,,-4369.9732,5661857.589,-4369.9746,5661857.089
104,CENTRE ST N,Yes,0.50000196,1.221008715,2.4,,,2,,,-4369.9718,5661858.089,-4369.9732,5661857.589
105,CENTRE ST N,Yes,0.50000196,1.225706395,2.5,,,2,,,-4369.9704,5661858.589,-4369.9718,5661858.089
106,CENTRE ST N,Yes,0.50000196,1.23028105,2.5,,,2,,,-4369.969,5661859.089,-4369.9704,5661858.589
107,CENTRE ST N,Yes,0.50000196,1.234855705,2.5,,,2,,,-4369.9676,5661859.589,-4369.969,5661859.089
108,CENTRE ST N,Yes,0.50000196,1.239406395,2.5,,,2,,,-4369.9662,5661860.089,-4369.9676,5661859.589
109,CENTRE ST N,Yes,0.500001365,1.195986898,2.4,,,2,,,-4369.9652,5661860.589,-4369.9662,5661860.089
110,CENTRE ST N,Yes,0.50000001,1.248627275,2.5,,,2,,,-4369.9651,5661861.089,-4369.9652,5661860.589
111,CENTRE ST N,Yes,0.5,1.2532,2.5,,,2,,,-4369.9651,5661861.589,-4369.9651,5661861.089
112,CENTRE ST N,Yes,0.50000001,1.257327675,2.5,,,2,,,-4369.965,5661862.089,-4369.9651,5661861.589
113,CENTRE ST N,Yes,0.5,1.26105,2.5,,,2,,,-4369.965,5661862.589,-4369.965,5661862.089
114,CENTRE ST N,Yes,0.50000001,1.264777675,2.5,,,2,,,-4369.9649,5661863.089,-4369.965,5661862.589
115,CENTRE ST N,Yes,0.5,1.2685,2.5,,,2,,,-4369.9649,5661863.589,-4369.9649,5661863.089
116,CENTRE ST N,Yes,0.50000001,1.27220265,2.5,,,2,,,-4369.9648,5661864.089,-4369.9649,5661863.589
117,CENTRE ST N,Yes,0.5,1.27595,2.6,,,2,,,-4369.9648,5661864.589,-4369.9648,5661864.089
118,CENTRE ST N,Yes,0.50000001,1.279677675,2.6,,,2,,,-4369.9647,5661865.089,-4369.9648,5661864.589
119,CENTRE ST N,Yes,0.5,1.283425,2.6,,,2,,,-4369.9647,5661865.589,-4369.9647,5661865.089
120,CENTRE ST N,Yes,0.50000001,1.287127675,2.6,,,2,,,-4369.9646,5661866.089,-4369.9647,5661865.589
121,CENTRE ST N,Yes,0.5,1.2902213,2.6,,,2,,,-4369.9646,5661866.589,-4369.9646,5661866.089
122,CENTRE ST N,Yes,0.50000001,1.291076175,2.6,,,2,,,-4369.9645,5661867.089,-4369.9646,5661866.589
123,CENTRE ST N,Yes,0.5,1.29175,2.6,,,2,,,-4369.9645,5661867.589,-4369.9645,5661867.089
124,CENTRE ST N,Yes,0.50000001,1.29245115,2.6,,,2,,,-4369.9644,5661868.089,-4369.9645,5661867.589
125,CENTRE ST N,Yes,0.50000001,1.29315115,2.6,,,2,,,-4369.9643,5661868.589,-4369.9644,5661868.089
126,CENTRE ST N,Yes,0.5,1.29385,2.6,,,2,,,-4369.9643,5661869.089,-4369.9643,5661868.589
127,CENTRE ST N,Yes,0.50000001,1.29455115,2.6,,,2,,,-4369.9642,5661869.589,-4369.9643,5661869.089
128,CENTRE ST N,Yes,0.500004098,1.115420289,2.2,,,2,,,-4369.9632,5661870.089,-4369.9642,5661869.589
129,CENTRE ST N,Yes,0.499917643,1.29555001,2.6,,,2,,,-4369.959,5661870.589,-4369.9632,5661870.089
130,CENTRE ST N,Yes,0.50001681,1.296035705,2.6,,,2,,,-4369.9549,5661871.089,-4369.959,5661870.589
131,CENTRE ST N,Yes,0.50001764,1.296292685,2.6,,,2,,,-4369.9507,5661871.589,-4369.9549,5661871.089
132,CENTRE ST N,Yes,0.50001681,1.296285705,2.6,,,2,,,-4369.9466,5661872.089,-4369.9507,5661871.589
133,CENTRE ST N,Yes,0.50001764,1.29641322,2.6,,,2,,,-4369.9424,5661872.589,-4369.9466,5661872.089
134,CENTRE ST N,Yes,0.50001681,1.296535705,2.6,,,2,,,-4369.9383,5661873.089,-4369.9424,5661872.589
135,CENTRE ST N,Yes,0.499917643,1.296403901,2.6,,,2,,,-4369.9341,5661873.588,-4369.9383,5661873.089
136,CENTRE ST N,Yes,0.50001681,1.29678542,2.6,,,2,,,-4369.93,5661874.088,-4369.9341,5661873.588
137,CENTRE ST N,Yes,0.50001764,1.29693713,2.6,,,2,,,-4369.9258,5661874.588,-4369.93,5661874.088
138,CENTRE ST N,Yes,0.50001681,1.29716526,2.6,,,2,,,-4369.9217,5661875.088,-4369.9258,5661874.588
139,CENTRE ST N,Yes,0.50001764,1.2973167,2.6,,,2,,,-4369.9175,5661875.588,-4369.9217,5661875.088
140,CENTRE ST N,Yes,0.50001681,1.29731177,2.6,,,2,,,-4369.9134,5661876.088,-4369.9175,5661875.588
141,CENTRE ST N,Yes,0.499917643,1.297177656,2.6,,,2,,,-4369.9092,5661876.588,-4369.9134,5661876.088
142,CENTRE ST N,Yes,0.50001681,1.29756177,2.6,,,2,,,-4369.9051,5661877.088,-4369.9092,5661876.588
143,CENTRE ST N,Yes,0.50001764,1.29768713,2.6,,,2,,,-4369.9009,5661877.588,-4369.9051,5661877.088
144,CENTRE ST N,Yes,0.50001681,1.29783295,2.6,,,2,,,-4369.8968,5661878.088,-4369.9009,5661877.588
145,CENTRE ST N,Yes,0.500011543,1.307899631,2.6,,,2,,,-4369.894,5661878.588,-4369.8968,5661878.088
146,CENTRE ST N,Yes,0.50000001,1.2988988,2.6,,,2,,,-4369.8941,5661879.088,-4369.894,5661878.588
147,CENTRE ST N,Yes,0.50000001,1.299473775,2.6,,,2,,,-4369.8942,5661879.588,-4369.8941,5661879.088
148,CENTRE ST N,Yes,0.50000001,1.300023775,2.6,,,2,,,-4369.8943,5661880.088,-4369.8942,5661879.588
149,CENTRE ST N,Yes,0.50000001,1.300573775,2.6,,,2,,,-4369.8944,5661880.588,-4369.8943,5661880.088
150,CENTRE ST N,Yes,0.50000001,1.3011488,2.6,,,2,,,-4369.8945,5661881.088,-4369.8944,5661880.588
151,CENTRE ST N,Yes,0.50000001,1.301723775,2.6,,,2,,,-4369.8946,5661881.588,-4369.8945,5661881.088
152,CENTRE ST N,Yes,0.50000001,1.302273775,2.6,,,2,,,-4369.8947,5661882.088,-4369.8946,5661881.588
153,CENTRE ST N,Yes,0.50000001,1.302823775,2.6,,,2,,,-4369.8948,5661882.588,-4369.8947,5661882.088
154,CENTRE ST N,Yes,0.50000001,1.30329448,2.6,,,2,,,-4369.8949,5661883.088,-4369.8948,5661882.588
155,CENTRE ST N,Yes,0.50000001,1.30369885,2.6,,,2,,,-4369.895,5661883.588,-4369.8949,5661883.088
156,CENTRE ST N,Yes,0.50000001,1.304073875,2.6,,,2,,,-4369.8951,5661884.088,-4369.895,5661883.588
157,CENTRE ST N,Yes,0.50000001,1.30444885,2.6,,,2,,,-4369.8952,5661884.588,-4369.8951,5661884.088
158,CENTRE ST N,Yes,0.50000001,1.3048489,2.6,,,2,,,-4369.8953,5661885.088,-4369.8952,5661884.588
159,CENTRE ST N,Yes,0.500000705,1.211565727,2.4,,,2,,,-4369.8961,5661885.588,-4369.8953,5661885.088
160,CENTRE ST N,Yes,0.500001,1.30734428,2.6,,,2,,,-4369.8971,5661886.088,-4369.8961,5661885.588
161,CENTRE ST N,Yes,0.50000081,1.30889483,2.6,,,2,,,-4369.898,5661886.588,-4369.8971,5661886.088
162,CENTRE ST N,Yes,0.50000081,1.31044483,2.6,,,2,,,-4369.8989,5661887.088,-4369.898,5661886.588
163,CENTRE ST N,Yes,0.50000081,1.31199483,2.6,,,2,,,-4369.8998,5661887.588,-4369.8989,5661887.088
164,CENTRE ST N,Yes,0.500000339,0.919643474,1.8,,,2,,,-4369.9003,5661888.088,-4369.8998,5661887.588
165,CENTRE ST N,Yes,0.50000009,1.315073275,2.6,,,2,,,-4369.9006,5661888.588,-4369.9003,5661888.088
166,CENTRE ST N,Yes,0.50000016,1.316622795,2.6,,,2,,,-4369.901,5661889.088,-4369.9006,5661888.588
167,CENTRE ST N,Yes,0.50000009,1.318173275,2.6,,,2,,,-4369.9013,5661889.588,-4369.901,5661889.088
168,CENTRE ST N,Yes,0.50000009,1.319723425,2.6,,,2,,,-4369.9016,5661890.088,-4369.9013,5661889.588
169,CENTRE ST N,Yes,0.50000016,1.321272585,2.6,,,2,,,-4369.902,5661890.588,-4369.9016,5661890.088
170,CENTRE ST N,Yes,0.50000009,1.322823425,2.6,,,2,,,-4369.9023,5661891.088,-4369.902,5661890.588
171,CENTRE ST N,Yes,0.50000009,1.324373275,2.6,,,2,,,-4369.9026,5661891.588,-4369.9023,5661891.088
172,CENTRE ST N,Yes,0.50000009,1.325923425,2.7,,,2,,,-4369.9029,5661892.088,-4369.9026,5661891.588
173,CENTRE ST N,Yes,0.50000016,1.327472585,2.7,,,2,,,-4369.9033,5661892.588,-4369.9029,5661892.088
174,CENTRE ST N,Yes,0.50000009,1.32902332,2.7,,,2,,,-4369.9036,5661893.088,-4369.9033,5661892.588
175,CENTRE ST N,Yes,0.50000009,1.33037808,2.7,,,2,,,-4369.9039,5661893.588,-4369.9036,5661893.088
176,CENTRE ST N,Yes,0.50000009,1.3314976,2.7,,,2,,,-4369.9042,5661894.088,-4369.9039,5661893.588
177,CENTRE ST N,Yes,0.50000016,1.332621745,2.7,,,2,,,-4369.9046,5661894.588,-4369.9042,5661894.088
178,CENTRE ST N,Yes,0.50000009,1.33372252,2.7,,,2,,,-4369.9049,5661895.088,-4369.9046,5661894.588
179,CENTRE ST N,Yes,0.50000009,1.3347976,2.7,,,2,,,-4369.9052,5661895.588,-4369.9049,5661895.088
180,CENTRE ST N,Yes,0.50000009,1.33592252,2.7,,,2,,,-4369.9055,5661896.088,-4369.9052,5661895.588
181,CENTRE ST N,Yes,0.50000016,1.337071745,2.7,,,2,,,-4369.9059,5661896.588,-4369.9055,5661896.088
182,CENTRE ST N,Yes,0.50000009,1.33801975,2.7,,,2,,,-4369.9062,5661897.088,-4369.9059,5661896.588
183,CENTRE ST N,Yes,0.50000009,1.33857348,2.7,,,2,,,-4369.9065,5661897.588,-4369.9062,5661897.088
184,CENTRE ST N,Yes,0.50000009,1.33912348,2.7,,,2,,,-4369.9068,5661898.088,-4369.9065,5661897.588
185,CENTRE ST N,Yes,0.50000016,1.339673005,2.7,,,2,,,-4369.9072,5661898.588,-4369.9068,5661898.088
186,CENTRE ST N,Yes,0.50000009,1.3401984,2.7,,,2,,,-4369.9075,5661899.088,-4369.9072,5661898.588
187,CENTRE ST N,Yes,0.50000009,1.34072348,2.7,,,2,,,-4369.9078,5661899.588,-4369.9075,5661899.088
188,CENTRE ST N,Yes,0.50000009,1.34127348,2.7,,,2,,,-4369.9081,5661900.088,-4369.9078,5661899.588
189,CENTRE ST N,Yes,0.50000016,1.341823005,2.7,,,2,,,-4369.9085,5661900.588,-4369.9081,5661900.088
190,CENTRE ST N,Yes,0.50000009,1.3423484,2.7,,,2,,,-4369.9088,5661901.088,-4369.9085,5661900.588
191,CENTRE ST N,Yes,0.50000009,1.34287348,2.7,,,2,,,-4369.9091,5661901.588,-4369.9088,5661901.088
192,CENTRE ST N,Yes,0.50000016,1.343423005,2.7,,,2,,,-4369.9095,5661902.088,-4369.9091,5661901.588
193,CENTRE ST N,Yes,0.50000009,1.34397348,2.7,,,2,,,-4369.9098,5661902.588,-4369.9095,5661902.088
194,CENTRE ST N,Yes,0.50000009,1.3445082,2.7,,,2,,,-4369.9101,5661903.088,-4369.9098,5661902.588
195,CENTRE ST N,Yes,0.50000009,1.34492316,2.7,,,2,,,-4369.9104,5661903.588,-4369.9101,5661903.088
196,CENTRE ST N,Yes,0.50000016,1.34529769,2.7,,,2,,,-4369.9108,5661904.088,-4369.9104,5661903.588
197,CENTRE ST N,Yes,0.50000009,1.34567316,2.7,,,2,,,-4369.9111,5661904.588,-4369.9108,5661904.088
198,CENTRE ST N,Yes,0.50000009,1.34602316,2.7,,,2,,,-4369.9114,5661905.088,-4369.9111,5661904.588
199,CENTRE ST N,Yes,0.50000009,1.34637316,2.7,,,2,,,-4369.9117,5661905.588,-4369.9114,5661905.088
200,CENTRE ST N,Yes,0.50000016,1.34674769,2.7,,,2,,,-4369.9121,5661906.088,-4369.9117,5661905.588
201,CENTRE ST N,Yes,0.500002444,1.173732081,2.3,,,2,,,-4369.9115,5661906.588,-4369.9121,5661906.088
202,CENTRE ST N,Yes,0.50000784,1.347551295,2.7,,,2,,,-4369.9087,5661907.088,-4369.9115,5661906.588
203,CENTRE ST N,Yes,0.49990841,1.347523385,2.7,,,2,,,-4369.9058,5661907.588,-4369.9087,5661907.088
204,CENTRE ST N,Yes,0.50000784,1.348142365,2.7,,,2,,,-4369.903,5661908.088,-4369.9058,5661907.588
205,CENTRE ST N,Yes,0.50000841,1.348493055,2.7,,,2,,,-4369.9001,5661908.588,-4369.903,5661908.088
206,CENTRE ST N,Yes,0.50000784,1.34886661,2.7,,,2,,,-4369.8973,5661909.088,-4369.9001,5661908.588
207,CENTRE ST N,Yes,0.50000841,1.349243055,2.7,,,2,,,-4369.8944,5661909.588,-4369.8973,5661909.088
208,CENTRE ST N,Yes,0.50000784,1.349592365,2.7,,,2,,,-4369.8916,5661910.088,-4369.8944,5661909.588
209,CENTRE ST N,Yes,0.50000841,1.35007799,2.7,,,2,,,-4369.8887,5661910.588,-4369.8916,5661910.088
210,CENTRE ST N,Yes,0.50000841,1.35031716,2.7,,,2,,,-4369.8858,5661911.088,-4369.8887,5661910.588
211,CENTRE ST N,Yes,0.50000784,1.35082749,2.7,,,2,,,-4369.883,5661911.588,-4369.8858,5661911.088
212,CENTRE ST N,Yes,0.50000841,1.3511781,2.7,,,2,,,-4369.8801,5661912.088,-4369.883,5661911.588
213,CENTRE ST N,Yes,0.50000784,1.35139248,2.7,,,2,,,-4369.8773,5661912.588,-4369.8801,5661912.088
214,CENTRE ST N,Yes,0.50000841,1.351361541,2.7,,,2,,,-4369.8744,5661913.088,-4369.8773,5661912.588
215,CENTRE ST N,Yes,0.50000784,1.353030008,2.7,,,2,,,-4369.8716,5661913.588,-4369.8744,5661913.088
216,CENTRE ST N,Yes,0.499908412,1.351528071,2.7,,,2,,,-4369.8687,5661914.088,-4369.8716,5661913.588
217,CENTRE ST N,Yes,0.50000784,1.35164849,2.7,,,2,,,-4369.8659,5661914.588,-4369.8687,5661914.088
218,CENTRE ST N,Yes,0.50000841,1.35168359,2.7,,,2,,,-4369.863,5661915.088,-4369.8659,5661914.588
219,CENTRE ST N,Yes,0.50000784,1.35142272,2.7,,,2,,,-4369.8602,5661915.588,-4369.863,5661915.088
220,CENTRE ST N,Yes,0.50000841,1.351274215,2.7,,,2,,,-4369.8573,5661916.088,-4369.8602,5661915.588
221,CENTRE ST N,Yes,0.50000784,1.351122735,2.7,,,2,,,-4369.8545,5661916.588,-4369.8573,5661916.088
222,CENTRE ST N,Yes,0.50000841,1.351022645,2.7,,,2,,,-4369.8516,5661917.088,-4369.8545,5661916.588
